,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_n_estimators,state
151,151,0.6401184014621755,2022-11-29 19:22:33.347621,2022-11-29 19:22:40.479607,0 days 00:00:07.131986,"{0: 1, 1: 100}",29.0,0.6,110,COMPLETE
152,152,0.707449718653365,2022-11-29 19:22:40.652258,2022-11-29 19:23:00.658027,0 days 00:00:20.005769,"{0: 1, 1: 10}",30.0,0.7,760,COMPLETE
153,153,0.6438744890680741,2022-11-29 19:23:00.825815,2022-11-29 19:23:18.976452,0 days 00:00:18.150637,"{0: 1, 1: 100}",22.0,0.8,810,COMPLETE
154,154,0.6760536904396169,2022-11-29 19:23:19.151034,2022-11-29 19:23:54.622179,0 days 00:00:35.471145,,39.0,0.8,910,COMPLETE
155,155,0.5945239211413602,2022-11-29 19:23:54.785569,2022-11-29 19:24:04.008028,0 days 00:00:09.222459,,11.0,sqrt,810,COMPLETE
156,156,0.6292127270196741,2022-11-29 19:24:04.170277,2022-11-29 19:24:11.123872,0 days 00:00:06.953595,balanced,6.0,sqrt,160,COMPLETE
157,157,0.6870724779606125,2022-11-29 19:24:11.298259,2022-11-29 19:24:26.442704,0 days 00:00:15.144445,,2.0,1.0,710,COMPLETE
158,158,0.6260512550040943,2022-11-29 19:24:26.627488,2022-11-29 19:24:35.775127,0 days 00:00:09.147639,"{0: 1, 1: 10}",28.0,sqrt,760,COMPLETE
159,159,0.7169271455969277,2022-11-29 19:24:35.918914,2022-11-29 19:24:50.343525,0 days 00:00:14.424611,,6.0,0.6,410,COMPLETE
160,160,0.6768647862012026,2022-11-29 19:24:50.514371,2022-11-29 19:25:20.259887,0 days 00:00:29.745516,,28.0,1.0,610,COMPLETE
161,161,0.6757090644553626,2022-11-29 19:25:20.430690,2022-11-29 19:25:30.378593,0 days 00:00:09.947903,,11.0,,110,COMPLETE
162,162,0.6660762918130188,2022-11-29 19:25:30.550223,2022-11-29 19:25:37.435388,0 days 00:00:06.885165,"{0: 1, 1: 100}",37.0,sqrt,160,COMPLETE
163,163,0.7151521564050246,2022-11-29 19:25:37.618546,2022-11-29 19:26:03.461957,0 days 00:00:25.843411,"{0: 1, 1: 10}",31.0,0.9,860,COMPLETE
164,164,0.7151500672291193,2022-11-29 19:26:03.638454,2022-11-29 19:26:27.407393,0 days 00:00:23.768939,"{0: 1, 1: 10}",36.0,,710,COMPLETE
165,165,0.6549286656422133,2022-11-29 19:26:27.571959,2022-11-29 19:26:36.622995,0 days 00:00:09.051036,balanced,28.0,1.0,160,COMPLETE
